target_accuracy,actual_accuracy,efficiency_calls,efficiency_sales,probability_calls,probability_sales,sales_diff,calls_diff,efficiency_wins
0.58,0.5796348451005147,97,60,87,74,-14,10,False
0.6,0.5995921142080217,129,70,87,74,-4,42,False
0.65,0.6489754297368165,138,69,87,74,-5,51,False
0.7,0.6980188404389628,156,74,87,74,0,69,False
0.75,0.7481062445372438,194,85,87,74,11,107,True
0.8,0.7985092745459843,219,96,87,74,22,132,True
0.85,0.8493736039623191,233,105,87,74,31,146,True
0.9,0.9005292803729241,232,106,87,74,32,145,True
0.95,0.9498640380693406,235,105,87,74,31,148,True
1.0,1.0,233,112,87,74,38,146,True
