Configuration,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Decision Tree (No Balancing),0.8896 ± 0.0032,0.5096 ± 0.0134,0.5312 ± 0.0221,0.5201 ± 0.0168,0.7332 ± 0.0112
Random Forest (No Balancing),0.9156 ± 0.0030,0.6588 ± 0.0166,0.5200 ± 0.0214,0.5811 ± 0.0174,0.9442 ± 0.0034
Naive Bayes (No Balancing),0.8466 ± 0.0036,0.3840 ± 0.0097,0.5987 ± 0.0244,0.4678 ± 0.0133,0.8514 ± 0.0101
Logistic Regression (No Balancing),0.9103 ± 0.0042,0.6667 ± 0.0316,0.4073 ± 0.0243,0.5054 ± 0.0255,0.9296 ± 0.0057
Decision Tree (SMOTE),0.8869 ± 0.0037,0.4986 ± 0.0149,0.5698 ± 0.0231,0.5316 ± 0.0139,0.7485 ± 0.0106
Random Forest (SMOTE),0.9084 ± 0.0031,0.5840 ± 0.0138,0.6522 ± 0.0217,0.6160 ± 0.0131,0.9421 ± 0.0031
Naive Bayes (SMOTE),0.7767 ± 0.0072,0.3030 ± 0.0096,0.7543 ± 0.0188,0.4323 ± 0.0121,0.8457 ± 0.0107
Logistic Regression (SMOTE),0.8584 ± 0.0035,0.4356 ± 0.0074,0.8672 ± 0.0180,0.5799 ± 0.0090,0.9323 ± 0.0049
Decision Tree (Class Weights),0.8903 ± 0.0035,0.5135 ± 0.0157,0.5006 ± 0.0142,0.5069 ± 0.0138,0.7202 ± 0.0077
Random Forest (Class Weights),0.9130 ± 0.0034,0.6637 ± 0.0226,0.4612 ± 0.0185,0.5441 ± 0.0189,0.9448 ± 0.0045
Logistic Regression (Class Weights),0.8547 ± 0.0044,0.4290 ± 0.0088,0.8728 ± 0.0197,0.5752 ± 0.0107,0.9324 ± 0.0050
