Feature,MI_Score_Norm,RF_Importance_Norm,Correlation_Norm,Average_Score
age,1.0,1.0,1.0,1.0
job,0.9461595132583089,0.2983757161464705,0.8736266193406595,0.706053949581813
marital,0.8913357620191968,0.2667138291201494,0.7992849488996154,0.6524448466796539
education,0.8713585574711938,0.18179973092533633,0.7564663588749749,0.6032082157571684
default,0.815900530164954,0.12602491953388728,0.732895435111248,0.5582736282700297
housing,0.7346095872733456,0.108963788411075,0.562667299192811,0.46874689162574384
loan,0.5392503491493642,0.10839718383064438,0.34934220019475914,0.3323299110582559
contact,0.4579347942654751,0.1014817012462117,0.32795711793875826,0.2957912044834817
month,0.3722945782354396,0.0812126390997863,0.31191740659445627,0.2551415413098941
day_of_week,0.2410667547251804,0.06666435877963281,0.23589263686941583,0.18120791679140968
duration,0.20884036967744948,0.061706407269809804,0.1534819218603709,0.1413428996025434
campaign,0.17298668096233505,0.046317953143425024,0.1321051341420443,0.11713658941593479
pdays,0.14601488060266316,0.04316545038071378,0.12480942862365452,0.10466325320234382
previous,0.11888796069657606,0.03616863080840783,0.10314086414746614,0.08606581855081667
poutcome,0.10458857402380138,0.03483779156260285,0.06366739489902933,0.06769792016181118
emp.var.rate,0.05660055208771985,0.026720823762084043,0.050487845267766375,0.044603073705856755
cons.price.idx,0.05248558211801288,0.019476009639926812,0.027621272643536497,0.03319428813382539
cons.conf.idx,0.05194145077037814,0.014787441704467295,0.01659258344691433,0.027773825307253256
euribor3m,0.0356033448256745,0.0011776528175824995,0.002887824136502494,0.013222940593253164
nr.employed,0.0,0.0,0.0,0.0
