Feature,Average_Score
duration,1.0
euribor3m,0.6670005294265847
nr.employed,0.6237756268103166
emp.var.rate,0.5007809379823988
pdays,0.47324931238292195
cons.price.idx,0.42081944344622296
cons.conf.idx,0.35262479778821937
poutcome,0.2788388532131881
previous,0.27284049854081954
contact,0.1864534075632637
age,0.16778930166050457
month,0.1339677420446754
default,0.11826019918866397
job,0.10750921513477228
campaign,0.1046068521537978
education,0.0922240891262646
marital,0.06868645645953701
day_of_week,0.06052951866925369
housing,0.05244992942637452
loan,0.006492003213308937
