Feature,Importance,Selected_by_RFECV,Selected_by_Threshold,Selected_by_TopK
age,0.12232670952715971,True,True,True
job,0.06300238553815306,True,True,True
marital,0.028560204648788324,True,True,True
education,0.058245371369586234,True,True,True
default,0.030049218699027026,True,True,True
housing,0.03934067587490591,True,True,True
loan,0.031202767539431762,True,True,True
contact,0.0412875506725148,True,True,True
month,0.017176584610808735,True,False,True
day_of_week,0.05131280075353594,True,True,True
campaign,0.051089586740433936,True,True,True
pdays,0.024812659653344102,True,True,True
previous,0.019851515110859103,True,False,True
poutcome,0.028366299359965565,True,True,True
emp.var.rate,0.05260117480567819,True,True,True
cons.price.idx,0.039630631926169335,True,True,True
cons.conf.idx,0.03539674520466068,True,True,True
euribor3m,0.19974983446858272,True,True,True
nr.employed,0.0659972834963949,True,True,True
