Model,Metric,Mean,Std,Min,Max
Decision Tree (J48),accuracy,0.8869090407864808,0.00366370423431841,0.8820101966496723,0.8958232151529869
Decision Tree (J48),precision,0.4986425373316793,0.014898179035580661,0.4785992217898833,0.5356415478615071
Decision Tree (J48),recall,0.5698275862068967,0.023095566076928996,0.5301724137931034,0.603448275862069
Decision Tree (J48),f1,0.5315761482876171,0.013941639377739361,0.5030674846625767,0.5507853403141362
Decision Tree (J48),roc_auc,0.7484960749870652,0.010570255080190154,0.7284241001934052,0.7627700599084862
Decision Tree (J48),false_negative_rate,0.43017241379310345,0.023095566076928992,0.39655172413793105,0.4698275862068966
Random Forest,accuracy,0.9084201359718364,0.0031274504035148963,0.9045884923525127,0.9137931034482759
Random Forest,precision,0.583991838240176,0.013837958202354337,0.5678776290630975,0.6046065259117083
Random Forest,recall,0.6521551724137932,0.021706341917265812,0.6163793103448276,0.6810344827586207
Random Forest,f1,0.6159663807658202,0.013072644934039413,0.5975359342915811,0.6395939086294417
Random Forest,roc_auc,0.9420890717828394,0.0031036665152094634,0.9372765224774753,0.9461997028161706
Random Forest,false_negative_rate,0.3478448275862069,0.02170634191726581,0.31896551724137934,0.38362068965517243
Naive Bayes,accuracy,0.7767313039314488,0.007194569081678389,0.7681476086428745,0.7916464303059738
Naive Bayes,precision,0.3030131529881845,0.009644874591648336,0.29006968641114983,0.32025547445255476
Naive Bayes,recall,0.7543103448275862,0.01878835751526153,0.7176724137931034,0.790948275862069
Naive Bayes,f1,0.4322993979566192,0.012084665653805607,0.413151364764268,0.45
Naive Bayes,roc_auc,0.8456885622696572,0.010669208081577381,0.8247883154865796,0.8603011934525213
Naive Bayes,false_negative_rate,0.24568965517241378,0.018788357515261533,0.20905172413793102,0.2823275862068966
OneR (Simple Rules),accuracy,0.5042243380838227,0.004525404260224784,0.49708596406022343,0.511531925224569
OneR (Simple Rules),precision,0.11620740909047875,0.0045450861125287245,0.10900243309002433,0.12354085603112841
OneR (Simple Rules),recall,0.5148706896551724,0.02018166785967149,0.4827586206896552,0.5474137931034483
OneR (Simple Rules),f1,0.18961769913734977,0.007419280697135882,0.1778483525208416,0.2015873015873016
OneR (Simple Rules),roc_auc,0.5088717520555404,0.011359631310564923,0.49083196496989606,0.5271952686447474
OneR (Simple Rules),false_negative_rate,0.4851293103448276,0.02018166785967151,0.4525862068965517,0.5172413793103449
Logistic Regression,accuracy,0.8584297810369765,0.003548486098903381,0.8516630250060694,0.8640116561437591
Logistic Regression,precision,0.4356017843180414,0.007374573814606741,0.4208826695371367,0.44713656387665196
Logistic Regression,recall,0.8672413793103448,0.01803661720078248,0.8405172413793104,0.896551724137931
Logistic Regression,f1,0.5798665053430204,0.009049959055587005,0.5613783201722901,0.5918367346938775
Logistic Regression,roc_auc,0.932262091904114,0.004942076275735639,0.9207114722392565,0.9379811547714515
Logistic Regression,false_negative_rate,0.13275862068965516,0.018036617200782482,0.10344827586206896,0.15948275862068967
XGBoost,accuracy,0.8383270304365477,0.005192122289846342,0.830298616168973,0.8501699854298203
XGBoost,precision,0.4057100005011476,0.008340588317021771,0.39190432382704693,0.4250734573947111
XGBoost,recall,0.9342672413793103,0.012686260907552963,0.9181034482758621,0.9547413793103449
XGBoost,f1,0.5656805663875428,0.008705654401264862,0.5493230174081238,0.5845117845117845
XGBoost,roc_auc,0.9405721830125648,0.003943022213257613,0.9335797089485353,0.9472168549346016
XGBoost,false_negative_rate,0.06573275862068965,0.012686260907552963,0.04525862068965517,0.08189655172413793
